nome;descricao;img1;grupo;img2;img3;img4;img5;img6;sugestao
Aguardente de Medronho 500ml;As árvores de medronho que se encontram ao longo da encosta serrana fornecem as bagas usadas na confeção desta bebida. As bagas de medronho são cuidadosamente destiladas originando um produto final de excelente qualidade.;static/produtos/licores/Aguardente_de_Medronho_500ml.png;1;static/produtos/licores/Aguardente_de_Medronho_500ml_atras.png;;;;;Uma bebida que leva o melhor da nossa serra até sua casa! 
Aguardente de Zimbro 500ml;Fabricado através de zimbro selvagem que cresce em altas atitudes na nossa Serra da Estrela, esta bebida é um dos cartões de visita desta região.;static/produtos/licores/Aguardente_de_Zimbro_500ml.png;1;static/produtos/licores/Aguardente_de_Zimbro_500ml_atras.png;static/produtos/licores/varios_licores.png;;;;Uma excelente opção para ficar com um cheirinho da nossa Serra! 
Licor de Castanha 500ml;As castanhas que caem dos castanheiros presentes nos vários soutos da nossa serra dão o vigor e a consistência a esta bebida, típica da nossa região.;static/produtos/licores/Licor_de_Castanha_500ml.png;1;static/produtos/licores/Licor_de_Castanha_500ml_atras.png;;;;;A bebida ideal para uma tarde de Outono junto à lareira! 
Licor de Zimbromel 500ml;É em alta atitude que cresce o zimbro, o fruto usado para fazer a aguardente tão cobiçada desta região. A esta junta-se o mel de urze, dando origem a uma bebida quente e apaixonante.;static/produtos/licores/Licor_de_Zimbromel_500ml.png;1;static/produtos/licores/Licor_de_Zimbromel_500ml_atras.png;;;;;Ideal para presentear os seus amigos com algo típico da nossa região! 
Licor de Mirtilo 500ml;A seleção cuidada das bagas de mirtilo que crescem ao longo da Beira Baixa garante a qualidade desta bebida que promete deliciar todos os que tenham oportunidade de a experimentar.;static/produtos/licores/Licor_de_Mirtilo_500ml.png;1;static/produtos/licores/Licor_de_Mirtilo_500ml_atras.png;;;;;Uma bebida ideal para adoçar o seu dia! 
Licor de Medronhomel 500ml;São dois produtos típicos da nossa região que dão origem a esta bebida: o medronho e o mel. ;static/produtos/licores/Licor_de_Medronhomel_500ml.png;1;static/produtos/licores/Licor_de_Medronhomel_500ml_atras.png;;;;;Uma combinação excelente para desfrutar como aperitivo, digestivo ou até mesmo para servir de base para diversos cocktails.
Licor de Cereja 500ml;É com as belíssimas cerejas da região da Cova da Beira que se produz este licor que promete invadir a sua casa com o aroma da fruta típica da região.   ;static/produtos/licores/Licor_de_Cereja_500ml.png;1;static/produtos/licores/Licor_de_Cereja_500ml_atras.png;;;;;Uma excelente opção para todos os amantes deste fruto que é um dos ex-libris da região! 
Licor de Pastel de Nata 100ml;Uma das maravilhas gastronómicas de Portugal é o que dá origem a este licor esplêndido.;static/produtos/licores/Licor_Pastel_de_Nata_100ml.png;1;static/produtos/licores/Licor_Pastel_de_Nata_100ml_atras.png;;;;;Com um sabor doce, intenso e envolvente é a bebida ideal para qualquer hora e ocasião! 
Licor de Mousse de Chocolate 100ml;Uma bebida doce que faz juz ao nome, onde o intenso sabor a chocolate negro está presente num licor cremoso e intenso.;static/produtos/licores/Licor_de_Mousse_de_Chocolate_100ml.png;1;static/produtos/licores/Licor_de_Mousse_de_Chocolate_100ml_atras.png;;;;;A escolha perfeita para os mais gulosos! 
Licor de Amêndoa Amarga 200ml;Uma bebida tradicional da região algarvia, que pode ser servida como aperitivo, digestivo ou cocktail. ;static/produtos/licores/Licor_de_Amendoa_Amarga_200ml.png;1;static/produtos/licores/Licor_de_Amendoa_Amarga_200ml_atras.png;;;;;Para obter uma combinação perfeita sugere-se a adição de gelo ou limão! 
